tempo,p_man,q_tr
"0,000000","4,226915","191,443562"
"15,005771","4,226915","191,443562"
"30,011543","4,226915","191,443562"
"45,017314","4,226915","191,443562"
"60,023086","4,226915","191,443562"
"75,028857","4,226915","191,443562"
"90,034629","4,226915","191,443562"
"105,040400","4,226915","191,443562"
"120,046172","4,226915","191,443562"
"135,051943","4,226915","191,443562"
"150,057715","4,226915","191,443562"
"165,063486","4,226915","191,443562"
"180,069257","4,226915","191,443562"
"195,075029","4,226915","191,443562"
"210,080800","4,226915","191,443562"
"225,086572","4,226915","191,443562"
"240,092343","4,226915","191,443562"
"255,098115","4,226915","191,443562"
"270,103886","4,226915","191,443562"
"285,109658","4,226915","191,443562"
"300,115429","4,226915","191,443562"
"315,121200","4,226915","191,443562"
"330,126972","4,226915","191,443562"
"345,132743","4,226915","191,443562"
"360,138515","4,226915","191,443562"
"375,144286","4,226915","191,443562"
"390,150058","4,226915","191,443562"
"405,155829","4,226915","191,443562"
"420,161601","4,226915","191,443562"
"435,167372","4,226915","191,443562"
"450,173144","4,226915","191,443562"
"465,178915","4,226915","191,443562"
"480,184686","4,226915","191,443562"
"495,190458","4,226915","191,443562"
"510,196229","4,226915","191,443562"
"525,202001","4,226915","191,443562"
"540,207772","4,226915","191,443562"
"555,213544","4,226915","191,443562"
"570,219315","4,226915","191,443562"
"585,225087","4,226915","191,443562"
"600,230858","4,226915","191,443562"
"615,236629","4,226915","191,443562"
"630,242401","4,226915","191,443562"
"645,248172","4,226915","191,443562"
"660,253944","4,226915","191,443562"
"675,259715","4,226915","191,443562"
"690,265487","4,226915","191,443562"
"705,271258","4,226915","191,443562"
"720,277030","4,226915","191,443562"
"735,282801","4,226915","191,443562"
"750,288573","4,226915","191,443562"
"765,294344","4,226915","191,443562"
"780,300115","4,226915","191,443562"
"795,305887","4,226915","191,443562"
"810,311658","4,226915","191,443562"
"825,317430","4,226915","191,443562"
"840,323201","4,226915","191,443562"
"855,328973","4,226915","191,443562"
"870,334744","4,226915","191,443562"
"885,340516","4,226915","191,443562"
"900,346287","4,226915","191,443562"
"915,352058","4,226915","191,443562"
"930,357830","4,226915","191,443562"
"945,363601","4,226915","191,443562"
"960,369373","4,226915","191,443562"
"975,375144","4,226915","191,443562"
"990,380916","4,226915","191,443562"
"1005,386687","4,226915","191,443562"
"1020,392459","4,226915","191,443562"
"1035,398230","4,226915","191,443562"
"1050,404002","4,226915","191,443562"
"1065,409773","4,226915","191,443562"
"1080,415544","4,226915","191,443562"
"1095,421316","4,226915","191,443562"
"1110,427087","4,226915","191,443562"
"1125,432859","4,226915","191,443562"
"1140,438630","4,226915","191,443562"
"1155,444402","4,226915","191,443562"
"1170,450173","4,226915","191,443562"
"1185,455945","4,226915","191,443562"
"1200,461716","4,226915","191,443562"
"1215,467487","4,226915","191,443562"
"1230,473259","4,226915","191,443562"
"1245,479030","4,226915","191,443562"
"1260,484802","4,226915","191,443562"
"1275,490573","4,226915","191,443562"
"1290,496345","4,226915","191,443562"
"1305,502116","4,226915","191,443562"
"1320,507888","4,226915","191,443562"
"1335,513659","4,226915","191,443562"
"1350,519431","4,226915","191,443562"
"1365,525202","4,226915","191,443562"
"1380,530973","4,226915","191,443562"
"1395,536745","4,226915","191,443562"
"1410,542516","4,226915","191,443562"
"1425,548288","4,226915","191,443562"
"1440,554059","4,226915","191,443562"
"1455,559831","4,226915","191,443562"
"1470,565602","4,226915","191,443562"
"1485,571374","4,226915","191,443562"
"1500,577145","4,226915","191,443562"
"1515,582917","3,394557","204,894383"
"1530,588688","2,633869","204,365821"
"1545,594459","1,941451","203,883618"
"1560,600231","1,311054","203,443707"
"1575,606002","0,737103","203,042435"
"1590,611774","0,214533","202,676459"
"1605,617545","-0,261265","202,342718"
"1620,623317","-0,694482","202,038411"
"1635,629088","-1,088935","201,760971"
"1650,634860","-1,448095","201,508053"
"1665,640631","-1,775125","201,277512"
"1680,646402","-2,072900","201,067385"
"1695,652174","-2,344040","200,875880"
"1710,657945","-2,590929","200,701360"
"1725,663717","-2,815737","200,542328"
"1740,669488","-3,020440","200,397420"
"1755,675260","-3,206837","200,265388"
"1770,681031","-3,376566","200,145093"
"1785,686803","-3,531117","200,035499"
"1800,692574","-3,671849","199,935657"
"1815,698346","-3,799997","199,844703"
"1830,704117","-3,916688","199,761849"
"1845,709888","-4,022944","199,686376"
"1860,715660","-4,119701","199,617628"
"1875,721431","-4,207807","199,555009"
"1890,727203","-4,288034","199,497973"
"1905,732974","-4,361088","199,446024"
"1920,738746","-4,427611","199,398709"
"1935,744517","-4,488186","199,355615"
"1950,750289","-4,543345","199,316367"
"1965,756060","-4,593573","199,280622"
"1980,761831","-4,639311","199,248066"
"1995,767603","-4,680961","199,218417"
"2010,773374","-4,718887","199,191415"
"2025,779146","-4,753423","199,166824"
"2040,784917","-4,784871","199,144429"
"2055,790689","-4,813509","199,124033"
"2070,796460","-4,839586","199,105460"
"2085,802232","-4,863332","199,088545"
"2100,808003","-4,884955","199,073141"
"2115,813775","-4,904646","199,059113"
"2130,819546","-4,922576","199,046338"
"2145,825317","-4,938904","199,034705"
"2160,831089","-4,953772","199,024111"
"2175,836860","-4,967311","199,014463"
"2190,842632","-4,979640","199,005678"
"2205,848403","-4,990866","198,997678"
"2220,854175","-5,001090","198,990392"
"2235,859946","-5,010399","198,983757"
"2250,865718","-5,018876","198,977716"
"2265,871489","-5,026596","198,972214"
"2280,877260","-5,033625","198,967204"
"2295,883032","-5,040026","198,962642"
"2310,888803","-5,045855","198,958487"
"2325,894575","-5,051163","198,954704"
"2340,900346","-5,055996","198,951259"
"2355,906118","-5,060397","198,948122"
"2370,911889","-5,064405","198,945265"
"2385,917661","-5,068055","198,942663"
"2400,923432","-5,071378","198,940294"
"2415,929204","-5,074405","198,938137"
"2430,934975","-5,077160","198,936172"
"2445,940746","-5,079670","198,934384"
"2460,946518","-5,081955","198,932755"
"2475,952289","-5,084035","198,931272"
"2490,958061","-5,085928","198,929922"
"2505,963832","-5,087653","198,928693"
"2520,969604","-5,089223","198,927574"
"2535,975375","-5,090653","198,926554"
"2550,981147","-5,091955","198,925626"
"2565,986918","-5,093140","198,924781"
"2580,992689","-5,094220","198,924012"
"2595,998461","-5,095203","198,923311"
"2611,004232","-5,096098","198,922673"
"2626,010004","-5,096914","198,922091"
"2641,015775","-5,097657","198,921562"
"2656,021547","-5,098333","198,921079"
"2671,027318","-5,098949","198,920640"
"2686,033090","-5,099510","198,920240"
"2701,038861","-5,100022","198,919876"
"2716,044633","-5,100487","198,919544"
"2731,050404","-5,100911","198,919242"
"2746,056175","-5,101297","198,918966"
"2761,061947","-5,101649","198,918716"
"2776,067718","-5,101969","198,918488"
"2791,073490","-5,102260","198,918280"
"2806,079261","-5,102526","198,918091"
"2821,085033","-5,102767","198,917918"
"2836,090804","-5,102987","198,917761"
"2851,096576","-5,103188","198,917618"
"2866,102347","-5,103371","198,917488"
"2881,108119","-5,103537","198,917370"
"2896,113890","-5,103689","198,917262"
"2911,119661","-5,103827","198,917163"
"2926,125433","-5,103952","198,917073"
"2941,131204","-5,104067","198,916992"
"2956,136976","-5,104171","198,916918"
