tempo_h,p_man,q_tr
"0,000000","4,226915","191,443562"
"1,000385","4,226915","191,443562"
"2,000770","4,226915","191,443562"
"3,001154","4,226915","191,443562"
"4,001539","4,226915","191,443562"
"5,001924","4,226915","191,443562"
"6,002309","4,226915","191,443562"
"7,002693","4,226915","191,443562"
"8,003078","4,226915","191,443562"
"9,003463","4,226915","191,443562"
"10,003848","4,226915","191,443562"
"11,004232","4,226915","191,443562"
"12,004617","4,226915","191,443562"
"13,005002","4,226915","191,443562"
"14,005387","4,226915","191,443562"
"15,005771","4,226915","191,443562"
"16,006156","4,226915","191,443562"
"17,006541","4,226915","191,443562"
"18,006926","4,226915","191,443562"
"19,007311","4,226915","191,443562"
"20,007695","4,226915","191,443562"
"21,008080","4,226915","191,443562"
"22,008465","4,226915","191,443562"
"23,008850","4,226915","191,443562"
"24,009234","4,226915","191,443562"
"25,009619","4,226915","191,443562"
"26,010004","4,226915","191,443562"
"27,010389","4,226915","191,443562"
"28,010773","4,226915","191,443562"
"29,011158","4,226915","191,443562"
"30,011543","4,226915","191,443562"
"31,011928","4,226915","191,443562"
"32,012312","4,226915","191,443562"
"33,012697","4,226915","191,443562"
"34,013082","4,226915","191,443562"
"35,013467","4,226915","191,443562"
"36,013851","4,226915","191,443562"
"37,014236","4,226915","191,443562"
"38,014621","4,226915","191,443562"
"39,015006","4,226915","191,443562"
"40,015391","4,226915","191,443562"
"41,015775","4,226915","191,443562"
"42,016160","4,226915","191,443562"
"43,016545","4,226915","191,443562"
"44,016930","4,226915","191,443562"
"45,017314","4,226915","191,443562"
"46,017699","4,226915","191,443562"
"47,018084","4,226915","191,443562"
"48,018469","4,226915","191,443562"
"49,018853","4,226915","191,443562"
"50,019238","4,226915","191,443562"
"51,019623","4,226915","191,443562"
"52,020008","4,226915","191,443562"
"53,020392","4,226915","191,443562"
"54,020777","4,226915","191,443562"
"55,021162","4,226915","191,443562"
"56,021547","4,226915","191,443562"
"57,021932","4,226915","191,443562"
"58,022316","4,226915","191,443562"
"59,022701","4,226915","191,443562"
"60,023086","4,226915","191,443562"
"61,023471","4,226915","191,443562"
"62,023855","4,226915","191,443562"
"63,024240","4,226915","191,443562"
"64,024625","4,226915","191,443562"
